company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
Canadian Natural Resources Limited,OGX Oil & Gas Upstream & Integrated,38,43,NO,"February 05, 2025",Canadian Natural Resources,https://www.spglobal.com/sustainable1/en/scores/results?cid=4010476,2025-12-04T19:12:28.618851
"Cardinal Health, Inc.",HEA Health Care Providers & Services,50,51,NO,"November 18, 2025",Cardinal Health,https://www.spglobal.com/sustainable1/en/scores/results?cid=4073203,2025-12-04T19:13:13.513993
"CarMax, Inc.",RTS Retailing,24,29,NO,"July 18, 2025",CarMax,https://www.spglobal.com/sustainable1/en/scores/results?cid=4099394,2025-12-04T19:13:23.998361
Carrefour SA,FDR Food & Staples Retailing,57,57,NO,"September 09, 2025",Carrefour,https://www.spglobal.com/sustainable1/en/scores/results?cid=4414480,2025-12-04T19:13:35.884843
Caterpillar Inc.,IEQ Machinery and Electrical Equipment,33,37,NO,"July 18, 2025",Caterpillar,https://www.spglobal.com/sustainable1/en/scores/results?cid=114523,2025-12-04T19:13:48.888522
"Cencora, Inc.",HEA Health Care Providers & Services,41,43,NO,"November 14, 2025",Cencora,https://www.spglobal.com/sustainable1/en/scores/results?cid=4022647,2025-12-04T19:13:59.879333
Cenovus Energy Inc.,OGX Oil & Gas Upstream & Integrated,25,29,NO,"August 25, 2025",Cenovus Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4342922,2025-12-04T19:14:10.909413
Centene Corporation,HEA Health Care Providers & Services,60,60,NO,"October 08, 2025",Centene,https://www.spglobal.com/sustainable1/en/scores/results?cid=4022661,2025-12-04T19:14:21.879863
"Charter Communications, Inc.","PUB Media, Movies & Entertainment",23,28,NO,"May 12, 2025",Charter Communications,https://www.spglobal.com/sustainable1/en/scores/results?cid=4121481,2025-12-04T19:14:32.882347
"Cheniere Energy Partners, L.P.",PIP Oil & Gas Storage & Transportation,,,,,Cheniere Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4149886,2025-12-04T19:14:50.580543
