company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
"Luxshare Precision Industry Co., Ltd.","ITC Electronic Equipment, Instruments & Components",45,50,NO,"August 16, 2024",Luxshare Precision Industry,https://www.spglobal.com/sustainable1/en/scores/results?cid=4991320,2025-12-04T19:48:31.279250
LyondellBasell Industries N.V.,CHM Chemicals,61,61,NO,"September 12, 2025",LyondellBasell Industries,https://www.spglobal.com/sustainable1/en/scores/results?cid=4986300,2025-12-04T19:48:42.290078
"Magnite, Inc.","PUB Media, Movies & Entertainment",,,,,Magnit,https://www.spglobal.com/sustainable1/en/scores/results?cid=4274604,2025-12-04T19:48:59.644512
Marathon Petroleum Corporation,OGR Oil & Gas Refining & Marketing,51,51,NO,"October 24, 2025",Marathon Petroleum,https://www.spglobal.com/sustainable1/en/scores/results?cid=4136924,2025-12-04T19:49:15.213137
Marubeni Corporation,TCD Trading Companies & Distributors,48,53,NO,"August 16, 2024",Marubeni,https://www.spglobal.com/sustainable1/en/scores/results?cid=4041871,2025-12-04T19:49:26.336694
Massachusetts Mutual Life Insurance Company,INS Insurance,,,,,Massachusetts Mutual Life,https://www.spglobal.com/sustainable1/en/scores/results?cid=110235,2025-12-04T19:49:37.670812
Medtronic plc,MTC Health Care Equipment & Supplies,58,58,NO,"October 06, 2025",Medtronic,https://www.spglobal.com/sustainable1/en/scores/results?cid=4806212,2025-12-04T19:49:48.628298
Meiji Yasuda Life Insurance Company,INS Insurance,,,,,Meiji Yasuda Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4005681,2025-12-04T19:49:59.686593
"Meta Platforms, Inc.","IMS Interactive Media, Services & Home Entertainment",26,30,NO,"December 03, 2025",Meta Platforms,https://www.spglobal.com/sustainable1/en/scores/results?cid=4144156,2025-12-04T19:50:25.060308
"MetLife, Inc.",INS Insurance,49,49,NO,"November 21, 2025",MetLife,https://www.spglobal.com/sustainable1/en/scores/results?cid=4051708,2025-12-04T19:50:35.964998
Metro AG,FDR Food & Staples Retailing,44,48,NO,"July 25, 2025",Metro,https://www.spglobal.com/sustainable1/en/scores/results?cid=5983698,2025-12-04T19:50:46.936818
Microsoft Corporation,SOF Software,48,51,NO,"November 03, 2025",Microsoft,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004214,2025-12-04T19:51:01.945825
"Mitsubishi Heavy Industries, Ltd.",IEQ Machinery and Electrical Equipment,65,65,NO,"September 24, 2025",Mitsubishi Heavy Industries,https://www.spglobal.com/sustainable1/en/scores/results?cid=4103008,2025-12-04T19:51:12.836726
"Mitsubishi UFJ Financial Group, Inc.",BNK Banks,58,59,NO,"November 26, 2025",Mitsubishi UFJ Financial Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4115073,2025-12-04T19:51:23.871259
"Mitsui & Co., Ltd.",TCD Trading Companies & Distributors,62,64,NO,"July 11, 2025",Mitsui,https://www.spglobal.com/sustainable1/en/scores/results?cid=4086798,2025-12-04T19:51:34.975903
"Mizuho Financial Group, Inc.",BNK Banks,73,73,NO,"October 03, 2025",Mizuho Financial Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4087990,2025-12-04T19:51:50.233413
"Molina Healthcare, Inc.",HEA Health Care Providers & Services,28,31,NO,"July 18, 2025",Molina Healthcare,https://www.spglobal.com/sustainable1/en/scores/results?cid=4080702,2025-12-04T19:52:01.290030
"Mondelez International, Inc.",FOA Food Products,61,62,NO,"July 30, 2025",Mondelez International,https://www.spglobal.com/sustainable1/en/scores/results?cid=4060931,2025-12-04T19:52:12.563226
Morgan Stanley,FBN Diversified Financial Services and Capital Markets,37,41,NO,"February 05, 2025",Morgan Stanley,https://www.spglobal.com/sustainable1/en/scores/results?cid=103042,2025-12-04T19:52:23.811013
Nationwide Building Society,FBN Diversified Financial Services and Capital Markets,64,64,NO,"November 19, 2025",Nationwide,https://www.spglobal.com/sustainable1/en/scores/results?cid=4145082,2025-12-04T19:52:47.551713
Nestlé (Malaysia) Berhad,FOA Food Products,42,50,NO,"July 18, 2025",Nestl,https://www.spglobal.com/sustainable1/en/scores/results?cid=4910306,2025-12-04T19:52:58.592017
"Netflix, Inc.","PUB Media, Movies & Entertainment",24,27,NO,"October 30, 2025",Netflix,https://www.spglobal.com/sustainable1/en/scores/results?cid=4104060,2025-12-04T19:53:14.174127
New China Life Insurance Company Ltd.,INS Insurance,26,28,NO,"September 01, 2025",New China Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4329576,2025-12-04T19:53:25.269654
New York Life Insurance Company,INS Insurance,,,,,New York Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=110248,2025-12-04T19:53:42.883754
"NIKE, Inc.","TEX Textiles, Apparel & Luxury Goods",37,45,NO,"December 10, 2024",Nike,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004236,2025-12-04T19:53:53.828213
Nippon Life Insurance Company,INS Insurance,,,,,Nippon Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4054422,2025-12-04T19:54:04.831544
"Nissan Motor Co., Ltd.",AUT Automobiles,45,52,NO,"April 16, 2025",Nissan Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4001583,2025-12-04T19:54:15.655738
Northrop Grumman Corporation,ARO Aerospace & Defense,42,47,NO,"July 21, 2025",Northrop Grumman,https://www.spglobal.com/sustainable1/en/scores/results?cid=4069910,2025-12-04T19:54:30.992935
The Northwestern Mutual Life Insurance Company,INS Insurance,,,,,Northwestern Mutual,https://www.spglobal.com/sustainable1/en/scores/results?cid=15866,2025-12-04T19:54:41.576776
"NRG Energy, Inc.",ELC Electric Utilities,32,38,NO,"September 25, 2024",NRG Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4057436,2025-12-04T19:55:30.123393
Nucor Corporation,STL Steel,27,34,NO,"September 01, 2025",Nucor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4121108,2025-12-04T19:55:47.939480
Nutrien Ltd.,CHM Chemicals,46,49,NO,"July 28, 2025",Nutrien,https://www.spglobal.com/sustainable1/en/scores/results?cid=7515551,2025-12-04T19:55:58.870920
Occidental Petroleum Corporation,OGX Oil & Gas Upstream & Integrated,30,32,NO,"May 28, 2025",Occidental Petroleum,https://www.spglobal.com/sustainable1/en/scores/results?cid=4010841,2025-12-04T19:56:13.851396
PJSC LUKOIL,MNX Metals & Mining,,,,,Oil  Natural Gas,https://www.spglobal.com/sustainable1/en/scores/results?cid=4351923,2025-12-04T19:56:24.818647
Olam Group Limited,FDR Food & Staples Retailing,,,,,Olam Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4911439,2025-12-04T19:56:35.882644
Oracle Corporation,SOF Software,33,38,NO,"May 26, 2025",Oracle,https://www.spglobal.com/sustainable1/en/scores/results?cid=4041363,2025-12-04T19:56:53.078196
Orange Belgium S.A.,TLS Telecommunication Services,,,,,Orange,https://www.spglobal.com/sustainable1/en/scores/results?cid=4999947,2025-12-04T19:57:08.865491
Panasonic Holdings Corporation,LEG Leisure Equipment & Products and Consumer Electronics,42,49,NO,"September 09, 2025",Panasonic Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4241641,2025-12-04T19:57:31.462265
PBF Energy Inc.,OGR Oil & Gas Refining & Marketing,,,,,PBF Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4435414,2025-12-04T19:57:48.905083
Performance Food Group Company,FDR Food & Staples Retailing,28,35,NO,"July 18, 2025",Performance Food Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4930148,2025-12-04T19:58:12.896753
PT Pertamina (Persero),OGX Oil & Gas Upstream & Integrated,,,,,Pertamina,https://www.spglobal.com/sustainable1/en/scores/results?cid=4187907,2025-12-04T19:58:23.674369
Petróleo Brasileiro S.A. - Petrobras,OGX Oil & Gas Upstream & Integrated,71,71,NO,"October 13, 2025",Petrobras,https://www.spglobal.com/sustainable1/en/scores/results?cid=4102724,2025-12-04T19:58:38.771510
PETRONAS Chemicals Group Berhad,CHM Chemicals,67,67,NO,"November 05, 2025",Petronas,https://www.spglobal.com/sustainable1/en/scores/results?cid=4986616,2025-12-04T19:58:49.668326
Pfizer Inc.,DRG Pharmaceuticals,35,40,YES,"September 01, 2025",Pfizer,https://www.spglobal.com/sustainable1/en/scores/results?cid=3009080,2025-12-04T19:59:05.111111
Philip Morris International Inc.,TOB Tobacco,74,74,NO,"September 18, 2025",Philip Morris International,https://www.spglobal.com/sustainable1/en/scores/results?cid=4913068,2025-12-04T19:59:20.414370
Phillips 66,OGR Oil & Gas Refining & Marketing,40,41,NO,"August 08, 2025",Phillips 66,https://www.spglobal.com/sustainable1/en/scores/results?cid=4095021,2025-12-04T19:59:31.295988
"Ping An Insurance (Group) Company of China, Ltd.",INS Insurance,52,52,NO,"October 08, 2024",Ping An Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4179619,2025-12-04T19:59:53.081954
The Progressive Corporation,INS Insurance,24,28,NO,"May 08, 2025",Progressive,https://www.spglobal.com/sustainable1/en/scores/results?cid=103383,2025-12-04T20:01:07.843890
PTT Exploration and Production Public Company Limited,OGX Oil & Gas Upstream & Integrated,61,61,NO,"November 28, 2025",PTT,https://www.spglobal.com/sustainable1/en/scores/results?cid=4157530,2025-12-04T20:01:25.439920
QUALCOMM Incorporated,SEM Semiconductors & Semiconductor Equipment,56,57,NO,"October 27, 2025",Qualcomm,https://www.spglobal.com/sustainable1/en/scores/results?cid=4062496,2025-12-04T20:01:47.442498
Quanta Computer Inc.,THQ Computers & Peripherals and Office Electronics,58,59,NO,"November 03, 2025",Quanta Computer,https://www.spglobal.com/sustainable1/en/scores/results?cid=4966468,2025-12-04T20:01:58.151996
Rajesh Exports Limited,"TEX Textiles, Apparel & Luxury Goods",,,,,Rajesh Exports,https://www.spglobal.com/sustainable1/en/scores/results?cid=4911322,2025-12-04T20:02:15.596444
"Repsol, S.A.",OGX Oil & Gas Upstream & Integrated,50,53,YES,"September 25, 2025",Repsol,https://www.spglobal.com/sustainable1/en/scores/results?cid=4549795,2025-12-04T20:03:04.154557
Rio Tinto Group,MNX Metals & Mining,44,44,NO,"September 30, 2025",Rio Tinto Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4149660,2025-12-04T20:03:15.206581
RWE Aktiengesellschaft,ELC Electric Utilities,54,58,NO,"August 27, 2025",RWE,https://www.spglobal.com/sustainable1/en/scores/results?cid=4210654,2025-12-04T20:03:32.435465
SAIC Motor Corporation Limited,AUT Automobiles,13,17,NO,"August 16, 2024",SAIC Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4325238,2025-12-04T20:03:54.209102
"Salesforce, Inc.",SOF Software,57,61,NO,"September 27, 2024",Salesforce,https://www.spglobal.com/sustainable1/en/scores/results?cid=4205848,2025-12-04T20:04:11.338880
"Samsung Life Insurance Co., Ltd.",INS Insurance,58,58,NO,"September 19, 2025",Samsung Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4111916,2025-12-04T20:04:28.310225
Sanofi,DRG Pharmaceuticals,58,58,YES,"June 30, 2025",Sanofi,https://www.spglobal.com/sustainable1/en/scores/results?cid=4404124,2025-12-04T20:04:39.696838
SAP SE,SOF Software,55,56,NO,"September 29, 2025",SAP,https://www.spglobal.com/sustainable1/en/scores/results?cid=4207967,2025-12-04T20:04:54.738805
Saudi Aramco Base Oil Company - Luberef,CHM Chemicals,10,18,NO,"August 16, 2024",Saudi Aramco,https://www.spglobal.com/sustainable1/en/scores/results?cid=7090044,2025-12-04T20:05:11.281088
Sberbank of Russia,BNK Banks,,,,,Sberbank,https://www.spglobal.com/sustainable1/en/scores/results?cid=4144827,2025-12-04T20:05:22.603669
"Shanghai Pharmaceuticals Holding Co., Ltd",HEA Health Care Providers & Services,27,28,NO,"January 16, 2025",Shanghai Pharmaceuticals Holding,https://www.spglobal.com/sustainable1/en/scores/results?cid=4811424,2025-12-04T20:06:25.512089
"Shanghai Pudong Development Bank Co., Ltd.",BNK Banks,21,23,NO,"April 15, 2025",Shanghai Pudong Development Bank,https://www.spglobal.com/sustainable1/en/scores/results?cid=4147556,2025-12-04T20:06:36.514100
Shell Pilipinas Corporation,OGR Oil & Gas Refining & Marketing,,,,,Shell,https://www.spglobal.com/sustainable1/en/scores/results?cid=4976614,2025-12-04T20:07:19.845515
"Shougang Group Co.,Ltd",STL Steel,,,,,Shougang Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4331778,2025-12-04T20:07:48.908038
Siemens Energy AG,IEQ Machinery and Electrical Equipment,52,56,NO,"July 18, 2025",Siemens Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=25689924,2025-12-04T20:08:06.395538
Siemens Aktiengesellschaft,IDD Industrial Conglomerates,79,79,NO,"November 07, 2024",Siemens,https://www.spglobal.com/sustainable1/en/scores/results?cid=4164886,2025-12-04T20:08:17.340244
SK hynix Inc.,SEM Semiconductors & Semiconductor Equipment,53,56,NO,"October 28, 2024",SK Hynix,https://www.spglobal.com/sustainable1/en/scores/results?cid=4724225,2025-12-04T20:08:45.753075
"SK Biopharmaceuticals Co., Ltd.",DRG Pharmaceuticals,63,64,NO,"November 19, 2025",SK,https://www.spglobal.com/sustainable1/en/scores/results?cid=5222956,2025-12-04T20:08:57.257120
"Sompo Holdings, Inc.",INS Insurance,70,70,NO,"November 26, 2025",Sompo Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4254889,2025-12-04T20:09:19.165321
State Power Investment Corporation Limited,ELC Electric Utilities,,,,,State Power Investment,https://www.spglobal.com/sustainable1/en/scores/results?cid=4847233,2025-12-04T20:10:13.799181
Sumitomo Life Insurance Company,INS Insurance,,,,,Sumitomo Life Insurance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4048741,2025-12-04T20:10:25.812378
"Sumitomo Mitsui Financial Group, Inc.",BNK Banks,49,49,NO,"August 20, 2025",Sumitomo Mitsui Financial Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4086518,2025-12-04T20:10:36.772844
Sumitomo Bakelite Company Limited,CHM Chemicals,,,,,Sumitomo,https://www.spglobal.com/sustainable1/en/scores/results?cid=6333320,2025-12-04T20:10:47.795853
Suncor Energy Inc.,OGX Oil & Gas Upstream & Integrated,43,45,NO,"August 19, 2025",Suncor Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4011073,2025-12-04T20:11:03.693173
Suzuki Motor Corporation,AUT Automobiles,32,37,NO,"April 16, 2025",Suzuki Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4911828,2025-12-04T20:11:23.250397
Swiss Re AG,INS Insurance,61,62,NO,"October 17, 2024",Swiss Re,https://www.spglobal.com/sustainable1/en/scores/results?cid=4290308,2025-12-04T20:11:34.262352
Sysco Corporation,FDR Food & Staples Retailing,31,38,NO,"October 27, 2025",Sysco,https://www.spglobal.com/sustainable1/en/scores/results?cid=4064204,2025-12-04T20:11:45.348585
TD SYNNEX Corporation,"ITC Electronic Equipment, Instruments & Components",29,34,NO,"November 03, 2025",TD Synnex,https://www.spglobal.com/sustainable1/en/scores/results?cid=4149366,2025-12-04T20:12:03.176024
Tencent Holdings Limited,"IMS Interactive Media, Services & Home Entertainment",61,61,NO,"November 13, 2025",Tencent Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4329847,2025-12-04T20:12:20.708317
Tesco PLC,FDR Food & Staples Retailing,49,56,NO,"July 18, 2025",Tesco,https://www.spglobal.com/sustainable1/en/scores/results?cid=4087448,2025-12-04T20:12:32.879833
"Tesla, Inc.",AUT Automobiles,27,30,NO,"November 28, 2025",Tesla,https://www.spglobal.com/sustainable1/en/scores/results?cid=4574287,2025-12-04T20:13:14.535063
thyssenkrupp AG,STL Steel,,,,,ThyssenKrupp,https://www.spglobal.com/sustainable1/en/scores/results?cid=4260547,2025-12-04T20:13:25.760346
"The TJX Companies, Inc.",RTS Retailing,29,36,NO,"October 09, 2025",TJX,https://www.spglobal.com/sustainable1/en/scores/results?cid=4074192,2025-12-04T20:13:49.689108
"Tokio Marine Holdings, Inc.",INS Insurance,71,71,NO,"November 21, 2025",Tokio Marine Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=4090200,2025-12-04T20:14:01.872600
"Tokyo Electric Power Company Holdings, Incorporated",ELC Electric Utilities,51,51,NO,"August 21, 2025",Tokyo Electric Power,https://www.spglobal.com/sustainable1/en/scores/results?cid=4065378,2025-12-04T20:14:13.164669
"Tongling Nonferrous Metals Group Co.,Ltd.",MNX Metals & Mining,12,16,NO,"July 24, 2025",TongLing Nonferrous Metals Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4314727,2025-12-04T20:14:24.374418
TotalEnergies Marketing Maroc S.A.,RTS Retailing,,,,,TotalEnergies,https://www.spglobal.com/sustainable1/en/scores/results?cid=4976646,2025-12-04T20:14:36.130585
Toyota Motor Corporation,AUT Automobiles,44,48,NO,"April 21, 2025",Toyota Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=114521,2025-12-04T20:14:52.333250
Toyota Tsusho Corporation,TCD Trading Companies & Distributors,69,69,NO,"November 13, 2025",Toyota Tsusho,https://www.spglobal.com/sustainable1/en/scores/results?cid=4162612,2025-12-04T20:15:04.502200
"Tyson Foods, Inc.",FOA Food Products,28,33,NO,"November 17, 2025",Tyson Foods,https://www.spglobal.com/sustainable1/en/scores/results?cid=3009699,2025-12-04T20:15:43.817185
Unilever PLC,COS Personal Products,47,50,NO,"October 24, 2025",Unilever,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004199,2025-12-04T20:16:02.584769
Uniper SE,ELC Electric Utilities,,,,,Uniper,https://www.spglobal.com/sustainable1/en/scores/results?cid=5000904,2025-12-04T20:16:19.802083
UnitedHealth Group Incorporated,HEA Health Care Providers & Services,44,44,NO,"April 29, 2025",UnitedHealth Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=111568,2025-12-04T20:16:36.649769
Valero Energy Corporation,OGR Oil & Gas Refining & Marketing,38,43,NO,"September 05, 2025",Valero Energy,https://www.spglobal.com/sustainable1/en/scores/results?cid=4011157,2025-12-04T20:17:31.007727
Vale S.A.,STL Steel,38,38,NO,"September 23, 2025",Vale,https://www.spglobal.com/sustainable1/en/scores/results?cid=4223919,2025-12-04T20:17:43.104377
Veolia Environnement SA,MUW Multi and Water Utilities,80,80,NO,"November 20, 2025",Veolia Environnement,https://www.spglobal.com/sustainable1/en/scores/results?cid=4157432,2025-12-04T20:18:00.166629
Verizon Communications Inc.,TLS Telecommunication Services,32,37,NO,"July 16, 2025",Verizon Communications,https://www.spglobal.com/sustainable1/en/scores/results?cid=4057229,2025-12-04T20:18:12.774630
Vibra Energia S.A.,RTS Retailing,61,62,NO,"October 08, 2025",Vibra Energia,https://www.spglobal.com/sustainable1/en/scores/results?cid=6333319,2025-12-04T20:18:24.111686
Vodafone Group Public Limited Company,TLS Telecommunication Services,51,54,NO,"November 11, 2025",Vodafone Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4135789,2025-12-04T20:18:36.237432
Volkswagen AG,AUT Automobiles,43,44,NO,"November 26, 2025",Volkswagen,https://www.spglobal.com/sustainable1/en/scores/results?cid=4076524,2025-12-04T20:18:48.103419
Volkswagen AG,AUT Automobiles,43,44,NO,"November 26, 2025",Volkswagen AG,https://www.spglobal.com/sustainable1/en/scores/results?cid=4076524,2025-12-04T20:18:58.489316
"Walgreens Boots Alliance, Inc.",FDR Food & Staples Retailing,49,50,NO,"July 23, 2025",Walgreens Boots Alliance,https://www.spglobal.com/sustainable1/en/scores/results?cid=4695380,2025-12-04T20:19:47.127277
Walmart Inc.,FDR Food & Staples Retailing,49,50,NO,"August 21, 2025",Walmart,https://www.spglobal.com/sustainable1/en/scores/results?cid=3005566,2025-12-04T20:19:58.443161
The Walt Disney Company,"PUB Media, Movies & Entertainment",40,42,NO,"September 10, 2025",Walt Disney,https://www.spglobal.com/sustainable1/en/scores/results?cid=4097175,2025-12-04T20:20:11.203666
Wells Fargo & Company,BNK Banks,35,38,NO,"June 09, 2025",Wells Fargo,https://www.spglobal.com/sustainable1/en/scores/results?cid=100382,2025-12-04T20:20:24.295608
Wilmar International Limited,FOA Food Products,66,67,NO,"December 01, 2025",Wilmar International,https://www.spglobal.com/sustainable1/en/scores/results?cid=4912210,2025-12-04T20:20:35.919064
Woolworths Group Limited,FDR Food & Staples Retailing,38,46,NO,"January 09, 2025",Woolworths Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4190764,2025-12-04T20:20:48.558949
World Kinect Corporation,OGR Oil & Gas Refining & Marketing,,,,,World Kinect,https://www.spglobal.com/sustainable1/en/scores/results?cid=4977010,2025-12-04T20:20:59.990679
X5 Retail Group N.V.,FDR Food & Staples Retailing,,,,,X5 Retail Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4914538,2025-12-04T20:21:47.698425
Xiaomi Corporation,THQ Computers & Peripherals and Office Electronics,63,63,NO,"September 18, 2025",Xiaomi,https://www.spglobal.com/sustainable1/en/scores/results?cid=5311100,2025-12-04T20:22:12.130587
ZF Friedrichshafen AG,ATX Auto Components,,,,,ZF Friedrichshafen,https://www.spglobal.com/sustainable1/en/scores/results?cid=6216004,2025-12-04T20:22:49.842731
Zijin Mining Group Company Limited,MNX Metals & Mining,41,41,NO,"August 06, 2025",Zijin Mining Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4355642,2025-12-04T20:23:13.821257
