company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
AGD Group,PT_00016,NaN,3.4,0.0,1.6,7.4,674,657,675,583,Latin America & Caribbean,Argentina,Food and agriculture,Food production,2023
Oetker,PT_01327,AU000000NUF3,5.5,0.0,4.5,9.2,628,657,585,552,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
Lactalis,PT_01048,NaN,4.3,12.5,4.8,0.0,654,554,579,700,Europe & Central Asia,France,Food and agriculture,Food production,2023
Tailored Brands,PT_01717,US87403A1079,3.5,0.0,0.0,10.4,671,657,722,513,North America,United States,Apparel and footwear,Apparel and footwear,2022
Jiangsu Hengrui Medicine,PT_02413,CNE100000502,3.7,18.8,2.1,0.0,666,478,666,700,East Asia & Pacific,China,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Perdue Farms,PT_01385,AU000000NUF3,3.7,0.0,2.3,7.4,666,657,661,583,North America,United States,Food and agriculture,Food production,2023
Cosun,PT_00483,NaN,4.4,6.3,1.3,8.4,651,618,702,564,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
EuroChem,PT_00646,NaN,5.7,6.3,1.6,11.9,626,618,675,478,Europe & Central Asia,Switzerland,Food and agriculture,Agricultural products,2023
China National Building Material Group (CNBM) (Sinoma),PT_00381,NaN,4.8,10.0,6.5,0.0,644,612,532,700,East Asia & Pacific,China,Construction materials and supplies,Construction materials and supplies,2022
American Crystal,PT_00088,US0253033064,3.4,0.0,1.6,7.4,674,657,675,583,North America,United States,Food and agriculture,Food production,2023
InterCement,PT_00915,SE0000652216,3.3,0.0,0.0,9.7,677,657,722,540,Latin America & Caribbean,Brazil,Construction materials and supplies,Construction materials and supplies,2022
Van Drie Group,PT_01871,NaN,4.7,16.3,1.0,5.9,645,545,711,606,Europe & Central Asia,Netherlands,Food and agriculture,Agricultural products,2023
Jinchuan Group,PT_00964,IL0002810146,4.2,6.3,3.2,5.0,657,618,625,628,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Designer Brands,PT_00546,US2505651081,3.3,0.0,0.0,9.7,677,657,722,540,North America,United States,Apparel and footwear,Apparel and footwear,2022
China Resources,PT_00393,NaN,4.6,11.3,5.8,0.0,649,599,546,700,East Asia & Pacific,China,Food and agriculture,Conglomerates,2023
Dairy Farmers of America,PT_00515,NaN,5.3,6.3,1.3,11.2,634,618,702,499,North America,United States,Food and agriculture,Food production,2023
Tetra Laval,PT_01767,NaN,4.0,0.0,7.6,0.0,661,657,502,700,Europe & Central Asia,Switzerland,Containers and packaging,Containers and packaging,2022
Daito Trust Construction,PT_02085,CNE100000502,4.2,0.0,7.1,1.5,657,657,515,665,East Asia & Pacific,Japan,Construction and engineering,Construction and engineering,2022
Bloomin' Brands,PT_00258,NaN,6.2,12.5,3.2,8.2,620,554,625,568,North America,United States,Food and agriculture,Food retailers,2023
Sanderson Farms,PT_01530,NaN,3.4,6.3,0.6,6.7,674,618,716,594,North America,United States,Food and agriculture,Food production,2023
Ocean Spray Cranberries,PT_01324,AU000000NUF3,5.3,18.8,5.2,0.0,634,478,565,700,North America,United States,Food and agriculture,Food production,2023
Aluminum Corporation of China (CHALCO),PT_00079,CNE1000000T0,6.3,16.3,6.3,2.2,618,545,534,655,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Lennar Corporation,PT_01068,US5260571048,5.0,0.0,3.9,8.9,641,657,609,556,North America,United States,Construction and engineering,Construction and engineering,2022
Royal Golden Eagle,PT_02573,CNE100000502,4.3,0.0,3.6,7.1,654,657,617,593,East Asia & Pacific,Singapore,Paper and forest,Paper and forest,2023
J.R. Simplot,PT_00943,IL0002810146,5.0,0.0,2.9,10.4,641,657,635,513,North America,United States,Food and agriculture,Agricultural products,2023
Ansteel Group,PT_00116,NaN,4.7,16.3,4.2,0.7,645,545,596,689,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Migros,PT_01174,NaN,3.5,0.0,0.0,10.4,671,657,722,513,Europe & Central Asia,Switzerland,Food and agriculture,Food retailers,2023
Boparan,PT_00269,NaN,5.4,0.0,2.4,12.4,632,657,657,474,Europe & Central Asia,United Kingdom,Food and agriculture,Food production,2023
Bachoco,PT_00178,NaN,4.9,0.0,2.3,11.2,643,657,661,499,Latin America & Caribbean,Mexico,Food and agriculture,Agricultural products,2023
LDC Groupe,PT_01061,FR0013204336,5.1,0.0,4.8,7.7,638,657,579,581,Europe & Central Asia,France,Food and agriculture,Food production,2023
Blue Diamond Growers,PT_00259,NaN,4.1,11.3,3.9,1.5,660,599,609,665,North America,United States,Food and agriculture,Food production,2023
Ezaki Glico,PT_00660,NaN,6.3,18.8,3.2,5.9,618,478,625,606,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Taylor Farms,PT_01736,NaN,2.0,0.0,3.9,0.0,706,657,609,700,North America,United States,Food and agriculture,Food production,2023
New Hope Group,PT_01252,CNE000000VB0,1.9,0.0,2.6,1.5,712,657,645,665,East Asia & Pacific,China,Food and agriculture,Food production,2023
Cooke,PT_00474,NaN,0.3,0.0,0.0,0.8,747,657,722,688,North America,Canada,Food and agriculture,Food production,2023
COFCO,PT_00448,NaN,2.5,10.0,1.7,0.7,697,612,670,689,East Asia & Pacific,China,Food and agriculture,Food production,2023
Pacific Seafood Group,PT_01365,AU000000NUF3,1.6,5.0,1.7,0.0,716,646,670,700,North America,United States,Food and agriculture,Food retailers,2023
Indian Farmers Fertiliser Cooperative,PT_00893,SE0000652216,1.5,0.0,2.9,0.0,717,657,635,700,South Asia,India,Food and agriculture,Agricultural products,2023
Inspire Brands,PT_02440,CNE100000502,0.5,0.0,1.0,0.0,743,657,711,700,North America,United States,Food and agriculture,Food retailers,2023
Shougang Group,PT_01595,NaN,1.5,0.0,2.9,0.0,717,657,635,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Intercorp,PT_00917,SE0000652216,1.7,0.0,3.2,0.0,715,657,625,700,Latin America & Caribbean,Peru,Food and agriculture,Food retailers,2023
China State Construction Engineering,PT_00398,NaN,0.9,6.3,0.0,0.0,723,618,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
