company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Toennies,PT_01803,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
Wen's Foodstuff,PT_01920,KYG9431R1039,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Agricultural products,2023
Forever 21,PT_00706,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Apparel and footwear,Apparel and footwear,2022
Kweichow Moutai,PT_01040,CNE0000018R8,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Hunan Valin Iron and Steel Group (Hunan Valin Steel),PT_00872,INE038A01020,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Tokyo Seika,PT_01794,BE0974338700,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Beidahuang Group,PT_00234,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Agricultural products,2023
Heilan Group,PT_00830,US4016171054,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Apparel and footwear,Apparel and footwear,2022
Guizhou Phosphate Chemical Group,PT_02418,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Chemicals,2023
Shanghai Urban Construction Group Corporation,PT_01579,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Wuliangye Yibin,PT_01955,CNE000000VQ8,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Allana Group,PT_00072,NaN,0.0,0.0,0.0,0.0,750,657,722,700,South Asia,India,Food and agriculture,Food production,2023
Dongling Group,PT_00573,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Eurocement,PT_00645,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Russian Federation,Construction materials and supplies,Construction materials and supplies,2022
HBIS Group (Hesteel),PT_00844,US4016171054,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Red Chamber Group,PT_01469,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Food and agriculture,Food production,2023
Yonghui Superstores,PT_01979,NO0010208051,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food retailers,2023
EW Group,PT_00654,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
ZEN-NOH,PT_01988,NO0010208051,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Japan,Food and agriculture,Agricultural products,2023
Shandong Bohi,PT_01570,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Paper and forest products,2023
Xinxing Cathay International Group,PT_01963,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
E.Leclerc,PT_00587,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
Wonderful Company,PT_01947,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Food and agriculture,Agricultural products,2023
Conad,PT_00466,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Italy,Food and agriculture,Food retailers,2023
Coamo Agroindustrial Cooperativa,PT_00446,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Latin America & Caribbean,Brazil,Food and agriculture,Agricultural products,2023
Baotou Iron and Steel Group,PT_00215,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Tosoh,PT_01807,JP3595200001,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Japan,Chemicals,Chemicals,2022
Tangshan Jidong Cement,PT_01727,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction materials and supplies,Construction materials and supplies,2022
Bright Food Group,PT_00277,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Fujian Sunner Development Corporation,PT_00724,CNE100000G78,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Yatai Building Materials,PT_02416,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction materials and supplies,Construction materials and supplies,2022
Lingyunhai Sugar Group,PT_01081,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Vicem,PT_01883,VN000000BTS4,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Vietnam,Construction materials and supplies,Construction materials and supplies,2022
Semir,PT_01994,NO0010208051,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Apparel and footwear,Apparel and footwear,2022
